match_number,venue
1,Chennai
2,Kolkata
3,Chennai
4,Visakhapatnam
5,Ahmedabad
6,Guwahati
7,Hyderabad
8,Chennai
9,Ahmedabad
10,Visakhapatnam
11,Guwahati
12,Mumbai
13,Lucknow
14,Bengaluru
15,Kolkata
16,Lucknow
17,Chennai
18,Mumbai
19,Hyderabad
20,Mumbai
21,Kolkata
22,Mumbai
23,Ahmedabad
24,Bengaluru
25,Chennai
26,Lucknow
27,Hyderabad
28,Jaipur
29,Delhi
30,Lucknow
31,Mumbai
32,Delhi
33,Mumbai
34,Bengaluru
35,Ahmedabad
36,Jaipur
37,Mumbai
38,Mumbai
39,Kolkata
40,Lucknow
41,Hyderabad
42,Bengaluru
43,Chennai
44,Kolkata
45,Mumbai
46,Delhi
47,Jaipur
48,Delhi
49,Chennai
50,Jaipur
51,Ahmedabad
52,Bengaluru
53,Kolkata
54,Dharamsala
55,Hyderabad
56,Mumbai
57,Kolkata
58,Dharamsala
59,Lucknow
60,Hyderabad
61,Dharamsala
62,Delhi
63,Chennai
64,Bengaluru
65,Ahmedabad
66,Mumbai
67,Jaipur
68,Bengaluru
69,Ahmedabad
70,Lucknow
71,Hyderabad
72,Hyderabad
73,Kolkata
74,Kolkata
